state_name,district_name,fir_year,fil_year,reg_year_date,total_cases
Haryana,Sirsa,2019,2020,2020,18
Assam,Bongaigaon,0   ,2020,2020,9
Haryana,Jind,2014,2014,2014,11
Delhi,North,2013,2013,2013,14
Haryana,Panchkula,2018,2019,2019,4
Haryana,Hisar,0   ,2018,2018,1
Delhi,New Delhi,2014,2019,2019,2
Assam,Bongaigaon,0   ,2018,2018,12
Assam,Barpeta,2015,2017,2017,14
Haryana,Jhajjar,2013,2013,2013,1
Delhi,Central,2017,2018,2018,42
Delhi,West,2013,2013,2013,167
Assam,Kokrajhar,2019,2020,2020,8
Haryana,Gurugram,2015,2015,2015,25
Delhi,South West,2018,2019,2019,54
Assam,Dima Hasao,2018,2019,2019,2
Assam,Sivasagar,0   ,2016,2016,1
Assam,Nagaon,2014,2018,2018,2
Haryana,Panipat,2015,2015,2015,9
Haryana,Jind,2018,2020,2020,1
Delhi,South East,2018,2019,2019,41
Assam,Kamrup Metro,2015,2018,2018,16
Assam,Morigaon,2017,2020,2020,1
Haryana,Sonepat,2014,2014,2014,19
Assam,Kamrup Metro,2016,2018,2018,12
Delhi,South West,2017,2017,2017,97
Delhi,Central,2017,2019,2019,4
Assam,Dhubri,2013,2019,2019,1
Delhi,West,2015,2018,2018,22
Haryana,Yamunanagar,2015,2015,2015,55
Delhi,South,2016,2017,2016,3
Delhi,Shahdara,2014,2016,2016,11
Haryana,Ambala,2016,2018,2018,1
Delhi,South West,2017,2018,2018,73
Assam,Barpeta,2014,2018,2018,1
Delhi,East,2013,2017,2017,2
Assam,Chirang,2017,2017,2017,6
Delhi,East,2013,2016,2016,1
Assam,Chirang,2016,2017,2017,3
Assam,Dibrugarh,2015,2016,2016,24
Haryana,Kurukshetra,2015,2015,2015,10
Assam,Kamrup Metro,2016,2017,2017,10
Delhi,North,2016,2017,2017,74
Delhi,North East,2014,2016,2016,2
Assam,Goalpara,2019,2020,2020,7
Assam,Udalguri,2019,2020,2020,7
Assam,Sivasagar,2015,2018,2018,1
Assam,Karbi Anglong,2014,2015,2014,1
Assam,Dhemaji,0   ,0   ,2015,7
Assam,Dhubri,2016,2016,2016,6
Delhi,South,2015,2019,2019,5
Assam,Lakhimpur,2016,2016,2016,21
Assam,Darrang,2019,2020,2020,1
Assam,Lakhimpur,2015,2016,2016,4
Delhi,North East,2017,2017,2017,22
Assam,Hailakandi,2018,2018,2018,1
Haryana,Gurugram,2013,2016,2016,1
Delhi,North East,2018,2018,2018,44
Delhi,South East,2016,2018,2018,17
Haryana,Kurukshetra,2014,2014,2014,6
